pt,en
Producto experimental,Test version
Selecionar mês actual,Select current month
Selecionar condições actuais,Select current conditions
Selecionar cenário futuro,Select future scenario
Transparência:,Transparency:
A: baixo caudal,A: low freshwater discharge
B: caudal médio,B: average freshwater discharge
C: caudal elevado,C: high freshwater discharge
Alterar idioma,Change language
Mudança no HSI,Change in the HSI
Mês actual,Current month
Próximo mês,Next month
Mudanças estimadas,Expected changes
"Esta ferramenta visa ajudar pescadores e entidades reguladoras na gestão da pesca do berbigão na Ria de Aveiro de forma a tornar a exploração deste recurso sustentável. Esta ferramenta permitirá aplicar medidas dinâmicas de gestão da captura de berbigão. A gestão dinâmica dos recursos marinhos consiste na adaptação das respostas de gestão às mudanças, por exemplo, nas condições ecológicas/ambientais. A gestão dinâmica de recursos marinhos é uma ferramenta complementar às medidas de gestão mais tradicionais, tipicamente fixas no espaço e no tempo. A ferramenta foi desenvolvida por investigadores da Universidade de Aveiro (Departamento de Biologia e Física) em colaboração com investigadores do IPMA (Instituto Português do Mar e da Atmosfera).","This tool is intended to help fishers and authorities to employ dynamic management measures for cockle fishery in Ria de Aveiro aiming for the sustainable use of this resource. The dynamic management of marine resources consists of adapting management measures to changes, for instance, in ecological/environmental conditions. Dynamic measures do not intend to replace static management frameworks and ongoing actions, instead aim to provide complementary information compatible with more responsive management and conservation practices. This tool was developed by researchers from the University of Aveiro (Department of Biology and Physics) in collaboration with IPMA (Portuguese Institute of the Sea and Atmosphere)."
Como utilizar a ferramenta,How to use the tool
"A área da Ria está colorida de acordo com a adequação (qualidade) das condições ambientais para a ocorrência de berbigão (HSI). O mapa da esquerda e do centro representam, respetivamente, as condições ambientais “atuais” e no mês seguinte de acordo com os cenários selecionados no painel interativo, à esquerda do ecrã. Os cenários propostos descrevem diferentes volume de água doce descarregado na Ria e que se traduzem, por exemplo, na alteração da salinidade da água. As zonas classificadas com valores perto de 1 (áreas coloridas a amarelo) são as que oferecem melhores condições ambientais para a ocorrência de berbigão enquanto as zonas codificadas com valores perto de 0 (roxo) identificam áreas com pouca qualidade ambiental para a espécie se desenvolver. O mapa da direita, indica as alterações previstas que se irão verificar entre os dois meses consecutivos: zonas a vermelho identificam áreas onde as condições ambientais vão piorar enquanto as áreas a verde mostram zonas em que as condições irão melhorar de acordo com o cenário ambiental previsto. O gradiente entre as duas cores reflete a intensidade da mudança. De acordo com a ferramenta deverá evitar-se pescar em áreas coloridas com tons de vermelho, especialmente as áreas mais escuras, de forma que os bancos de pesca de berbigão existentes nessas zonas tenham mais probabilidade de resistir às condições ambientais mais desfavoráveis que se prevêem ocorrer com a diminuição da pressão da pesca.","The Ria is coloured according to the seascape suitability (HSI) for the occurrence of cockles. The map on the left and centre represent, respectively, the “current” and next month's environmental conditions according to the scenarios selected in the interactive panel on the left side of the screen. The scenarios proposed describe different volumes of fresh water discharged into the Ria that affects, for instance, the water salinity. Areas classified with values close to 1 (yellow) are those that offer the best environmental conditions for the species' occurrence while zones coded with values close to 0 (purple) identify areas with poor environmental conditions for the species. The map on the right side indicates the expected changes between the two consecutive months: areas in red identify areas where environmental conditions will deteriorate while areas in green show areas where conditions will improve according to the forecasted environmental scenario. Areas identified by increasingly red colours should be avoided by fishers in order to preserve the fishing stocks of cockles under stressful environmental conditions."
Isenção de responsabilidade,Disclaimer
As previsões da ferramenta de apoio COACH resultam de métodos de modelação estando por isso sujeitas a um determinado grau de incerteza pelo que a informação apresentada é meramente indicativa. Futuros estudos permitirão validar estes resultados e melhorar a capacidade de previsão da ferramenta. Detalhes sobre o modelo no artigo:,The COACH advisor tool is based on a modelling approach and therefore subject to a certain degree of uncertainty. Future studies will validate these results and improve the tool's predictive power. Details about the model are available in:
Que dados ambientais são usados?,What environmental data is used?
"A ferramenta integra dados de ocorrência de berbigão na Ria de Aveiro com dados ambientais de salinidade, temperatura, clorofila a, concentração de nitratos, velocidade de correntes, e tempo de submersão. ","The tool integrates biological data based on the species occurrence and environmental data on salinity, temperature, chlorophyll a, nitrate concentration, current velocity, and submergence time."
Financiamento do projeto,Funding
"O financiamento do projeto foi assegurado pelo Fundo de Conservação dos Oceanos, uma iniciativa conjunta da Fundação Oceano Azul e do Oceanário de Lisboa.","This tool was funded by the Ocean Conservation Fund, a joint initiative of the Oceano Azul Foundation and Oceanário de Lisboa."